Master Record Number,Year,Month,Day,Hour,Weekend,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
901694269,2019,9,2,1100,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S COLLEGE MALL RD,39.154261,-86.497703
901695564,2019,9,4,1400,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SOUTH COLLEGE MALL RD,39.154261,-86.497703
901599114,2019,3,3,300,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLEGE MALL RD,39.15426091,-86.49772739
901617501,2019,4,4,1500,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,W BLOOMFIELD RD & WEIMER,39.15424,-86.56434481
901628513,2019,5,6,1400,Weekday,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,BLOOMFIELD RD & WEIMER,39.15424,-86.56435
901704156,2019,10,5,1500,Weekday,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,WEST BLOOMFIELD RD & WIEMER,39.15424,-86.56435
901609179,2019,3,5,100,Weekday,2-Car,No injury/unknown,IMPROPER TURNING,SOUTH JORDAN AVE,39.15423017,-86.51543807
901677379,2019,8,3,1500,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,SOUTH JORDAN AVE,39.15423017,-86.51543807
901607577,2019,3,1,1900,Weekday,2-Car,No injury/unknown,IMPROPER TURNING,BUSINESS 37 RD & OLD STATE ROAD 37,39.15420038,-86.53484
901581489,2019,1,1,1300,Weekend,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,S COLLEGE MALL RD,39.15412578,-86.49786768
901612989,2019,4,1,1800,Weekend,2-Car,Non-incapacitating,UNSAFE BACKING,S COLLEGE MALL RD,39.15412578,-86.49786768
901679143,2019,8,6,1600,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL RD,39.15412578,-86.49786768
901681659,2019,8,4,1300,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL RD,39.15412578,-86.49786768
901567376,2019,1,6,1800,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LIBERTY DR & W 3RD,39.15402396,-86.57913641
901607131,2019,3,6,1500,Weekday,2-Car,No injury/unknown,,S COLLEGE MALL RD,39.153968,-86.497692
901643353,2019,6,2,700,Weekday,3+ Cars,Non-incapacitating,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,PATTERSON & ROGERS ST,39.15387112,-86.53875411
901645761,2019,6,6,900,Weekday,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,515 W PATTERSON DR & S ROGERS,39.15379295,-86.53873482
901669531,2019,7,1,1500,Weekend,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,S ROGERS ST & W PATTERSON,39.15379295,-86.53875212
901566779,2019,1,6,1300,Weekday,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,S ROGERS & W PATTERSON DR,39.15379,-86.53875
901625266,2019,4,6,1600,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S ROGERS RD & W PATTERSON,39.15379,-86.53875
901659463,2019,7,6,2000,Weekend,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,S ROGERS ST & W PATTERSON,39.15379,-86.53875
901646149,2019,6,3,1300,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,GREEN LEAF CT,39.1537305,-86.57182037
901699874,2019,9,4,2100,Weekday,Bus,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,JORDAN AVE & THIRD,39.15368565,-86.5164
901581153,2019,1,7,1100,Weekend,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,S MORTON & W GRIMES LN,39.15344,-86.536304
901607848,2019,3,2,700,Weekday,Bus,No injury/unknown,LEFT OF CENTER,GRIMES & S WALNUT ST,39.15344,-86.5336
901678878,2019,8,6,700,Weekday,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,E GRIMES & S WALNUT ST,39.15344,-86.5336
901682887,2019,8,7,900,Weekend,2-Car,No injury/unknown,UNSAFE BACKING,GRIMES & S WALNUT ST,39.15344,-86.5336
901625528,2019,4,7,1900,Weekend,1-Car,No injury/unknown,IMPROPER TURNING,E GRIMES LN,39.15343837,-86.53227265
901675141,2019,8,5,1500,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRANT & GRIMES LN,39.153408,-86.530048
901612643,2019,4,7,700,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E GRIMES & S HENDERSON ST,39.153392,-86.527008
901636975,2019,5,3,2300,Weekday,1-Car,Incapacitating,DRIVER ILLNESS,MORTON & PATTERSON DR,39.15338233,-86.53653592
901642466,2019,6,6,1700,Weekday,Cyclist,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRIMES LN & MORTON,39.15337,-86.53637433
901669391,2019,7,7,1700,Weekend,2-Car,No injury/unknown,UNSAFE BACKING,GRIMES LN & PARK,39.15336,-86.52377638
901745590,2019,12,6,1500,Weekday,2-Car,Non-incapacitating,IMPROPER PASSING,EAST GRIMES LN & SOUTH WALNUT,39.15335487,-86.53371457
901671706,2019,8,4,1800,Weekday,3+ Cars,No injury/unknown,UNSAFE SPEED,GRIMES & WALNUT ST,39.15335,-86.53371
901708242,2019,10,6,2000,Weekend,3+ Cars,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,GRIMES LN & SOUTH WALNUT,39.15335,-86.53371
901567880,2019,1,1,900,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRIMES LN & LINCOLN,39.15334,-86.53134
901665992,2019,7,7,200,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRIMES LN & WASHINGTON,39.15334,-86.53249
901705560,2019,10,2,2000,Weekday,Pedestrian,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,GRIMES LN & LINCOLN,39.15334,-86.53134
901734943,2019,11,3,1300,Weekday,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,MEADOW CREEK & SARE RD,39.15331167,-86.49999015
901659404,2019,7,6,1800,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,S BASSWOOD CIR,39.15297,-86.570073
901652913,2019,6,6,1900,Weekend,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,SIERRA DR,39.152889,-86.587915
901631367,2019,5,5,1100,Weekday,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,SIERRA LOT 15 DR,39.15266671,-86.58359594
901673859,2019,8,4,1300,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,BROWN COUNTY LINE & SR46E,39.15263532,-86.37105029
901681714,2019,8,5,2200,Weekday,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BROWN COUNTY LINE & SR46E,39.15263532,-86.37112802
901738416,2019,12,2,200,Weekday,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BROWN COUNTY LINE & SR46E,39.15263012,-86.37084083
901694422,2019,9,2,1000,Weekday,1-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,KENT & SR46E,39.15248164,-86.40039497
901568832,2019,1,1,1200,Weekend,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,KENT & SR46E,39.152448,-86.400288
901740237,2019,12,3,1700,Weekday,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,GRIMES & WALNUT ST,39.15234137,-86.5336
901591617,2019,2,3,1200,Weekday,2-Car,Non-incapacitating,IMPROPER LANE USAGE,MILLER & S WALNUT ST,39.15217596,-86.53265697
901656137,2019,6,7,1500,Weekend,Moped/Motorcycle,No injury/unknown,FOLLOWING TOO CLOSELY,MONON & WALNUT ST,39.15217,-86.53369
901573319,2019,1,2,600,Weekday,1-Car,Non-incapacitating,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,S OLD SR37 HWY & S ROGERS,39.15209407,-86.5379
901593443,2019,2,6,2200,Weekend,1-Car,Non-incapacitating,LEFT OF CENTER,BRENDA & HENDERSON ST,39.15179179,-86.52698792
901683412,2019,8,6,700,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,FRIENDSHIP & SR46E,39.15175116,-86.40480905
901663889,2019,7,2,1300,Weekday,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,MOORES & SR446S,39.15172508,-86.47132585
901718022,2019,10,7,2000,Weekend,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BRUMMETTS & SR46E,39.15168251,-86.38995586
901683928,2019,8,2,1500,Weekday,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,WASHINGTON ST & WILSON,39.151616,-86.5324
901575934,2019,1,5,1600,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S LIBERTY DR,39.151554,-86.576847
901612870,2019,4,1,100,Weekend,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,600 S WOODLAWN AVE & 616 S WOODLAWN,39.151552,-86.522496
901684051,2019,8,1,1700,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GARRISON CHAPPEL RDS & GIFFORD ROAD,39.151552,-86.643504
901616255,2019,4,2,1200,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,WASHINGTON ST & WILSON,39.15148,-86.53251
901655735,2019,6,5,2200,Weekday,2-Car,No injury/unknown,IMPROPER TURNING,E WILSON & S WASHINGTON ST,39.15148,-86.53251
901728076,2019,11,1,200,Weekend,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,GIFFORD RD & KIRBY,39.15143524,-86.60979053
901665558,2019,7,1,1100,Weekend,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,GIFFORD RD,39.151424,-86.592179
901696772,2019,9,7,500,Weekend,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,S ROCKPORT & S ROGERS ST,39.15134472,-86.53888
901620964,2019,4,5,700,Weekday,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,S STONE & W BLOOMFIELD RD,39.151344,-86.567792
901697136,2019,9,7,400,Weekend,1-Car,No injury/unknown,UNSAFE SPEED,ENDWRIGHT & W GIFFORD RD,39.151344,-86.5964
901571556,2019,1,5,1500,Weekday,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,CONSTITUTION & CURRY PIKE,39.15127953,-86.58266079
901601483,2019,3,7,0,Weekend,1-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,COLLEGE MALL RD & MOORES,39.15127143,-86.4979616
901640290,2019,5,3,1100,Weekday,3+ Cars,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,CONSTITUTION & CURRY PIKE,39.15127,-86.58262
901670891,2019,8,4,100,Weekday,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,CONSTITUTION AVE & CURRY,39.15127,-86.58262
901617788,2019,4,5,1200,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SO LIBERTY DR & W CONSITITUTION,39.1512,-86.57687
901729350,2019,11,7,1200,Weekend,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CONSTITUTION & LIBERTY DR,39.15119983,-86.5768703
901602847,2019,3,3,1700,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S CURRY PIKE,39.15115482,-86.58269835
901590123,2019,2,6,2300,Weekend,1-Car,No injury/unknown,UNSAFE BACKING,S CURRY PIKE,39.15113929,-86.58269741
901749852,2019,12,7,100,Weekend,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,S CLARIZZ BLVD,39.1509638,-86.49129711
901612781,2019,4,6,1800,Weekday,2-Car,No injury/unknown,IMPROPER TURNING,S CLARIZZ BLVD,39.150846,-86.491271
901617352,2019,4,4,0,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,CLARIZZ BLVD,39.150846,-86.491271
901655209,2019,6,4,800,Weekday,2-Car,No injury/unknown,,S CLARIZZ BLVD,39.150846,-86.491271
901712635,2019,10,6,1700,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CLARIZZ BLVD,39.150846,-86.491271
901638723,2019,5,6,900,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,2ND & COLLEGE AVE,39.15080643,-86.53493
901724597,2019,11,6,1200,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,E HILLSIDE DR,39.15069899,-86.5214455
901662497,2019,7,6,1300,Weekday,2-Car,Non-incapacitating,VIEW OBSTRUCTED,E HILLSIDE DR & S HENDERSON,39.15064,-86.52696
901688447,2019,9,4,1000,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,HENDERSON & HILLSIDE DR,39.15064,-86.52696
901753293,2019,12,6,1800,Weekday,1-Car,Incapacitating,LEFT OF CENTER,HILLSIDE & ROGERS ST,39.15064,-86.538592
901600249,2019,3,5,600,Weekday,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,HILLSIDE DR & MAXWELL,39.150576,-86.515088
